Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
software.contraband.springman.iap.removeads,published,managed_by_android,false,en_US;Remove Ads;Removes all ads from the game forever.,true,990000,
software.contraband.springman.iap.alien,published,managed_by_android,false,en_US;Alien;The Alien Premium Skin,true,990000,
software.contraband.springman.iap.artifact,published,managed_by_android,false,en_US;Artifact;The Artifact Premium Skin,true,1990000,
software.contraband.springman.iap.charged,published,managed_by_android,false,en_US;Charged;The Charged Premium Skin,true,1990000,
software.contraband.springman.iap.gyrocube,published,managed_by_android,false,en_US;The Gyrocube Premium Skin;Gyrocube,true,1990000,
software.contraband.springman.iap.stomper,published,managed_by_android,false,en_US;Stomper;The Stomper Premium Skin,true,990000,
software.contraband.springman.iap.lightbulb,published,managed_by_android,false,en_US;LightBulb;The LightBulb Premium Skin,true,990000,
software.contraband.springman.iap.moltencore,published,managed_by_android,false,en_US;Molten Core;The Molten Core Premium Skin,true,1990000,
software.contraband.springman.iap.dualcannon,published,managed_by_android,false,en_US;DualCannon;The DualCannon Premium Skin,true,1990000,
software.contraband.springman.iap.neon,published,managed_by_android,false,en_US;Neon;The Neon Premium Skin,true,990000,
software.contraband.springman.iap.pc,published,managed_by_android,false,en_US;PC;The PC Premium Skin,true,990000,
